,Year,YearBuilt,Distance,Lattitude,Longtitude,Propertycount,Landsize,BuildingArea,Rooms,Bathroom,Car,Type_h,Type_t,Type_u,LogPrice
28,2017,1937.0,10.0,-37.90946,144.98919,10579.0,823.0,365.0,4,2.0,2.0,1,0,0,15.163583706263967
29,2017,1935.0,11.0,-37.901,145.0026,10579.0,0.0,189.0,3,2.0,2.0,0,1,0,14.503645196700676
30,2016,2016.0,9.0,-37.7266,144.9823,3445.0,501.0,258.0,4,3.0,2.0,1,0,0,13.864300722133706
31,2017,1930.0,8.0,-37.74997,144.90752,9264.0,951.0,238.0,4,2.0,3.0,1,0,0,14.587930919418728
32,2016,1970.0,2.0,-37.7994,144.9464,6821.0,0.0,65.0,2,1.0,1.0,0,0,1,13.199324418540456
33,2017,2011.0,14.0,-37.7215,144.8864,3464.0,168.0,86.0,2,1.0,1.0,0,0,1,13.122363377404328
34,2018,1987.0,21.0,-37.60216,144.93012,15510.0,659.0,126.0,3,1.0,4.0,1,0,0,13.24059075876898
35,2016,2013.0,10.0,-37.7282,144.928,7485.0,110.0,91.0,2,1.0,1.0,0,1,0,13.142166004700508
36,2016,2010.0,11.0,-37.878,145.0666,8801.0,222.0,90.0,4,3.0,2.0,1,0,0,14.115615150414612
37,2017,1980.0,30.0,-37.71077,144.57198,4718.0,578.0,104.0,4,1.0,2.0,1,0,0,12.92391243868049
38,2016,2010.0,8.0,-37.8768,144.9845,8989.0,758.0,18.0,3,2.0,2.0,0,1,0,13.732128949025222
39,2016,1950.0,8.0,-37.8123,144.8805,1808.0,350.0,114.0,3,1.0,1.0,1,0,0,13.541073712262515
40,2016,1965.0,3.0,-37.8337,144.9886,14887.0,0.0,61.0,2,1.0,1.0,0,0,1,13.081541382884074
41,2017,1999.0,13.0,-37.7514,144.8731,5629.0,288.0,116.0,3,2.0,2.0,1,0,0,13.458835614025542
42,2017,1970.0,18.0,-37.97223,145.07895,9758.0,538.0,169.0,3,1.0,4.0,1,0,0,13.779883380321124
43,2016,1955.0,15.0,-37.9398,145.0554,2555.0,696.0,214.0,4,2.0,1.0,1,0,0,13.997832114758229
44,2017,1900.0,4.0,-37.77529,144.92255,6567.0,138.0,97.0,2,1.0,0.0,1,0,0,13.764217263576723
45,2016,1947.0,11.0,-37.8636,145.0903,3052.0,697.0,164.0,3,1.0,1.0,1,0,0,14.316285845876763
46,2017,1995.0,15.0,-37.8786,144.65481,16166.0,630.0,235.0,4,2.0,2.0,1,0,0,13.337474757021274
47,2016,1991.0,8.0,-37.831,144.8884,1223.0,326.0,112.0,3,1.0,1.0,1,0,0,13.658856747918897
48,2017,1999.0,3.0,-37.84188,144.99979,14887.0,223.0,235.0,3,2.0,2.0,1,0,0,14.594835434765272
49,2016,2008.0,13.0,-37.7982,144.823,3755.0,204.0,85.0,2,2.0,2.0,0,1,0,12.92391243868049
50,2017,1975.0,16.0,-37.9279,145.0849,3692.0,584.0,185.0,4,2.0,2.0,1,0,0,13.976778705560397
51,2016,1925.0,8.0,-37.7915,144.8733,5058.0,353.0,360.0,3,1.0,1.0,1,0,0,13.53579665516167
52,2018,2012.0,27.0,-37.88002,144.62762,5262.0,340.0,93.0,3,1.0,1.0,1,0,0,12.89921982609012
53,2017,1900.0,3.0,-37.80792,144.99508,4019.0,192.0,109.0,3,1.0,0.0,1,0,0,14.130321297804308
54,2017,1995.0,18.0,-37.68966,145.14649,2346.0,792.0,233.0,4,3.0,2.0,1,0,0,13.704578997256993
55,2017,1970.0,15.0,-37.84121,145.16068,4385.0,601.0,110.0,3,1.0,1.0,1,0,0,13.941261763269834
56,2016,1995.0,6.0,-37.7718,144.9066,6567.0,228.0,90.0,2,1.0,2.0,0,0,1,13.437174117244362
57,2018,2008.0,16.0,-37.80344,145.19777,4790.0,393.0,178.0,3,2.0,2.0,1,0,0,13.710150042306449
58,2017,2000.0,15.0,-37.8797,144.7405,15542.0,584.0,166.0,3,2.0,2.0,1,0,0,13.419500608626866
59,2016,2012.0,13.0,-37.9155,145.0243,6795.0,579.0,361.0,4,4.0,2.0,1,0,0,14.739769459487606
60,2017,1890.0,3.0,-37.84587,144.94828,3280.0,149.0,109.0,3,1.0,1.0,1,0,0,14.224303456165114
61,2017,2014.0,8.0,-37.84143,145.08705,8920.0,186.0,158.0,3,2.0,2.0,0,1,0,14.0623706358958
62,2017,1960.0,8.0,-37.8725,144.9848,8989.0,1966.0,85.0,2,1.0,1.0,0,0,1,13.658856747918897
63,2016,2001.0,10.0,-37.7363,144.9208,3284.0,650.0,348.0,4,3.0,2.0,1,0,0,14.354923638582177
64,2018,1950.0,17.0,-37.9754,145.02694,5366.0,667.0,196.0,3,1.0,3.0,1,0,0,14.363631966473962
65,2016,1960.0,12.0,-37.7143,144.9092,2651.0,715.0,111.0,3,1.0,0.0,1,0,0,13.467370516475379
66,2016,2016.0,6.0,-37.7937,145.0353,10331.0,597.0,342.0,5,4.0,2.0,1,0,0,14.75160391713461
67,2016,1905.0,4.0,-37.7839,144.9807,6244.0,118.0,103.0,3,2.0,1.0,1,0,0,14.187074114396758
68,2017,1970.0,17.0,-37.8236,145.20898,6871.0,672.0,136.0,3,2.0,2.0,1,0,0,13.825460888817442
69,2017,1950.0,16.0,-37.72196,145.1134,3891.0,1007.0,183.0,5,2.0,2.0,1,0,0,13.652991628466498
70,2016,1964.0,6.0,-37.8543,145.0262,4836.0,0.0,76.0,2,1.0,1.0,0,0,1,13.303016877097587
71,2018,2010.0,20.0,-37.62727,145.01607,10926.0,349.0,290.0,5,2.0,2.0,1,0,0,13.487700694421713
72,2016,2000.0,6.0,-37.8147,145.0438,10331.0,400.0,251.0,4,2.0,2.0,1,0,0,14.48333993053993
73,2017,1970.0,12.0,-37.76311,145.10494,5420.0,779.0,135.0,3,2.0,2.0,1,0,0,14.034646087880946
74,2018,2005.0,5.0,-37.756,144.95869,11918.0,239.0,162.0,3,2.0,1.0,1,0,0,13.91535589293399
75,2018,1950.0,7.0,-37.7341,144.97725,3445.0,402.0,123.0,3,1.0,2.0,1,0,0,13.764217263576723
76,2016,1920.0,11.0,-37.8956,145.0026,10579.0,615.0,135.0,4,2.0,3.0,1,0,0,14.381392387478343
77,2016,1920.0,7.0,-37.8153,144.8796,6543.0,902.0,129.0,3,1.0,4.0,1,0,0,14.473030560881067
78,2017,1950.0,9.0,-37.8562,145.0864,10412.0,732.0,138.0,3,1.0,3.0,1,0,0,14.403297222866392
79,2017,1930.0,11.0,-37.9076,145.03393,2397.0,580.0,124.0,3,1.0,3.0,1,0,0,14.357834848789636
80,2016,1960.0,9.0,-37.8555,145.0518,10412.0,0.0,80.0,2,1.0,1.0,0,0,1,13.304684934198283
81,2016,1910.0,9.0,-37.8292,145.0852,3265.0,653.0,229.0,4,2.0,1.0,1,0,0,14.68050799545088
82,2016,1988.0,13.0,-37.9181,145.044,6795.0,708.0,275.0,6,3.0,2.0,1,0,0,14.457364444136669
83,2017,1997.0,8.0,-37.7397,144.9603,11204.0,768.0,285.0,6,3.0,4.0,1,0,0,14.19051645858773
84,2017,2013.0,2.0,-37.8055,144.9961,4019.0,0.0,86.0,2,2.0,1.0,0,0,1,13.676248490630767
85,2018,1960.0,14.0,-37.66698,144.94497,2246.0,578.0,96.0,3,2.0,5.0,1,0,0,13.16158409055761
86,2016,1900.0,2.0,-37.8079,144.9934,4019.0,156.0,79.0,2,1.0,0.0,1,0,0,13.849911984681606
87,2018,1930.0,7.0,-37.88271,144.99216,8989.0,339.0,117.0,4,3.0,2.0,1,0,0,14.467835744003965
88,2017,1938.0,3.0,-37.8177,144.9544,17496.0,0.0,213.0,4,2.0,1.0,0,0,1,14.430696197054507
89,2017,2013.0,15.0,-37.87895,144.6707,16166.0,287.0,137.0,3,2.0,4.0,0,0,1,12.884106188280072
90,2017,2007.0,18.0,-37.93869,145.13717,4734.0,304.0,147.0,3,2.0,2.0,0,1,0,13.573438996764546
91,2016,1900.0,3.0,-37.8225,145.0029,14949.0,157.0,141.0,3,2.0,1.0,1,0,0,14.191203507738768
92,2017,1945.0,6.0,-37.79194,144.87144,5058.0,380.0,106.4,3,2.0,3.0,1,0,0,13.9108207377686
93,2017,1980.0,13.0,-37.6916,144.8982,3285.0,549.0,114.0,3,1.0,4.0,1,0,0,13.38472764187182
94,2018,1920.0,5.0,-37.76259,144.94935,7082.0,365.0,123.0,3,1.0,1.0,1,0,0,14.038654109278484
95,2016,2005.0,13.0,-37.864,144.8437,852.0,705.0,313.0,5,3.0,6.0,1,0,0,14.162640089059476
96,2018,1965.0,15.0,-37.80794,145.18282,4973.0,588.0,121.0,3,1.0,2.0,1,0,0,13.785051350479566
97,2016,1990.0,11.0,-37.8972,145.0642,7822.0,0.0,107.0,3,2.0,1.0,0,1,0,13.422467969854667
98,2018,2014.0,21.0,-37.57606,144.90624,15510.0,431.0,176.0,4,2.0,2.0,1,0,0,13.336667980051335
99,2016,2010.0,14.0,-37.7954,145.1379,9028.0,657.0,275.0,4,3.0,2.0,1,0,0,14.234220892822458
100,2017,1981.0,25.0,-37.87558,145.27197,10788.0,944.0,104.0,3,1.0,2.0,1,0,0,13.541073712262515
101,2017,1975.0,10.0,-37.88415,145.0514,7822.0,0.0,86.0,2,1.0,2.0,0,0,1,13.58735446482652
102,2016,2014.0,4.0,-37.8341,144.9458,8648.0,214.0,241.0,3,2.0,2.0,1,0,0,15.125193816712324
103,2017,1960.0,7.0,-37.8122,144.8671,6543.0,304.0,81.0,2,1.0,2.0,1,0,0,13.38472764187182
104,2017,1990.0,30.0,-37.69392,144.57468,4718.0,587.0,149.0,4,2.0,1.0,1,0,0,12.758519943986984
105,2017,1995.0,11.0,-37.70612,144.9144,8870.0,193.0,105.0,2,1.0,2.0,0,0,1,13.244581010128577
106,2016,1970.0,5.0,-37.7766,144.9574,11918.0,540.0,45.0,1,1.0,1.0,0,0,1,12.821258284620408
107,2017,2002.0,18.0,-37.68381,144.73331,5556.0,666.0,193.0,3,2.0,2.0,1,0,0,13.399995114002609
108,2018,1960.0,11.0,-37.69824,144.92347,8870.0,650.0,97.0,3,1.0,2.0,1,0,0,13.564195129682869
109,2016,2005.0,12.0,-37.8597,145.1084,5678.0,399.0,212.0,4,2.0,2.0,0,1,0,14.054527458434775
110,2017,1980.0,8.0,-37.7705,145.0396,5549.0,608.0,315.0,4,3.0,2.0,1,0,0,14.552674623940995
111,2017,1900.0,3.0,-37.8132,144.9929,14949.0,131.0,76.0,3,2.0,1.0,1,0,0,14.253765488895429
112,2016,1997.0,11.0,-37.8804,145.0501,8801.0,0.0,57.0,2,1.0,1.0,0,0,1,12.959844447906553
113,2017,2015.0,21.0,-37.56857,144.91694,15510.0,312.0,148.0,4,2.0,2.0,1,0,0,13.081541382884074
114,2017,1920.0,8.0,-37.7459,144.9159,9264.0,697.0,196.0,5,2.0,1.0,1,0,0,14.31749723306306
115,2016,2010.0,7.0,-37.8187,144.8771,6543.0,427.0,233.0,4,2.0,2.0,1,0,0,14.253765488895429
116,2017,1970.0,22.0,-37.98145,145.12834,3940.0,681.0,168.0,4,2.0,3.0,1,0,0,13.766320313773502
117,2018,1975.0,9.0,-37.8454,144.84711,5132.0,441.0,107.0,3,1.0,2.0,1,0,0,13.458835614025542
118,2017,1970.0,8.0,-37.73415,144.91852,3284.0,288.0,94.0,3,2.0,2.0,0,0,1,13.527828485512494
119,2018,1980.0,12.0,-37.74794,144.87634,5629.0,545.0,233.0,4,2.0,2.0,1,0,0,13.815510557964274
120,2016,1950.0,8.0,-37.7502,144.8923,9264.0,646.0,100.0,2,1.0,1.0,1,0,0,13.937728190688523
121,2016,1950.0,8.0,-37.7937,144.8732,5058.0,440.0,131.0,3,1.0,3.0,1,0,0,13.617059619240436
122,2017,1925.0,5.0,-37.77694,144.96669,11918.0,479.0,182.0,3,1.0,4.0,1,0,0,14.470436525704022
123,2016,1923.0,11.0,-37.8945,145.0648,7822.0,751.0,40.0,3,2.0,2.0,1,0,0,14.28551418721001
124,2017,1980.0,17.0,-37.9792,145.035,5366.0,789.0,180.0,4,2.0,2.0,1,0,0,14.487178706847095
125,2017,1975.0,17.0,-37.84842,145.1816,4280.0,651.0,187.0,4,2.0,2.0,1,0,0,13.864300722133706
126,2017,1980.0,11.0,-37.90422,145.02827,3578.0,664.0,245.0,5,3.0,4.0,1,0,0,14.56219850545225
127,2016,1945.0,11.0,-37.8737,145.0695,3052.0,702.0,145.0,3,2.0,3.0,1,0,0,14.325335681396682
128,2016,1960.0,9.0,-37.8865,145.0302,2379.0,0.0,100.0,2,1.0,1.0,0,0,1,13.490472698968725
129,2016,1890.0,3.0,-37.7934,144.9562,2309.0,154.0,196.0,3,2.0,1.0,1,0,0,14.620199113257128
130,2016,1900.0,4.0,-37.8517,145.0056,7717.0,112.0,100.0,3,2.0,1.0,1,0,0,14.01436141670944
131,2017,1955.0,10.0,-37.79367,145.10661,7809.0,592.0,124.0,3,1.0,2.0,1,0,0,14.077874822431765
132,2017,1960.0,7.0,-37.75506,145.01841,8870.0,695.0,133.0,3,1.0,2.0,1,0,0,14.038654109278484
133,2016,1880.0,2.0,-37.8073,144.9481,2230.0,265.0,280.0,3,3.0,2.0,1,0,0,14.678400513111313
134,2018,1980.0,10.0,-37.72282,144.88373,3464.0,764.0,251.0,5,2.0,3.0,1,0,0,13.840203170554645
135,2016,2013.0,9.0,-37.7308,144.9836,3445.0,298.0,231.0,4,2.0,2.0,1,0,0,13.764217263576723
136,2016,1960.0,12.0,-37.9031,145.0668,4442.0,553.0,138.0,3,2.0,2.0,1,0,0,13.901688254205327
137,2016,1985.0,14.0,-37.7752,145.1317,9028.0,656.0,320.0,5,3.0,2.0,1,0,0,14.151982794585487
138,2016,2013.0,11.0,-37.7283,145.0072,21650.0,595.0,174.0,4,3.0,1.0,1,0,0,13.574712071411344
139,2017,1974.0,5.0,-37.8568,145.0004,4380.0,0.0,46.0,1,1.0,1.0,0,0,1,13.021437458814368
140,2016,1994.0,8.0,-37.7475,144.8959,9264.0,170.0,88.0,2,1.0,1.0,0,0,1,13.37700559577791
141,2017,1999.0,6.0,-37.8568,144.9873,13240.0,0.0,102.0,2,2.0,2.0,0,0,1,13.437174117244362
142,2018,2007.0,11.0,-37.92064,145.03146,6795.0,665.0,332.0,5,3.0,2.0,1,0,0,14.508657738524219
143,2016,1950.0,15.0,-37.9178,145.0872,3692.0,774.0,107.0,3,1.0,1.0,1,0,0,14.047019025610112
144,2017,1995.0,4.0,-37.85,144.9876,7717.0,8216.0,130.0,3,2.0,1.0,1,0,0,13.864300722133706
145,2016,1965.0,13.0,-37.7425,144.8683,5629.0,622.0,126.0,4,1.0,1.0,1,0,0,13.64709190633931
146,2016,1990.0,13.0,-37.7452,144.8652,5629.0,708.0,184.0,4,2.0,3.0,1,0,0,13.635187003832993
147,2016,2005.0,9.0,-37.7591,144.8923,1543.0,217.0,149.0,3,2.0,2.0,0,1,0,13.748301808270824
148,2017,1970.0,12.0,-37.8677,145.0981,2894.0,78.0,59.0,2,1.0,1.0,0,0,1,13.619495674038317
149,2017,1965.0,11.0,-37.6917,144.9755,21650.0,460.0,102.0,3,1.0,2.0,1,0,0,13.306350213517344
150,2017,1980.0,16.0,-37.91061,145.0862,3692.0,0.0,62.0,2,1.0,1.0,0,0,1,13.306350213517344
151,2017,2011.0,26.0,-37.5961,145.1283,7254.0,511.0,173.0,4,2.0,2.0,1,0,0,13.253391639810733
152,2016,1930.0,8.0,-37.8811,144.9797,8989.0,0.0,67.0,2,1.0,1.0,0,0,1,13.42984807715229
153,2016,2006.0,9.0,-37.768,144.8894,4918.0,202.0,121.0,3,2.0,2.0,0,0,1,13.403775836842515
154,2016,1950.0,11.0,-37.7195,144.9982,21650.0,589.0,128.0,3,1.0,2.0,1,0,0,13.583578500616985
155,2017,2011.0,5.0,-37.824,145.0427,11308.0,88.0,178.0,3,3.0,2.0,1,0,0,14.392123922268269
156,2018,2015.0,14.0,-37.89003,145.13272,13366.0,673.0,259.0,4,2.0,2.0,1,0,0,14.22097566607244
157,2017,1987.0,15.0,-37.9366,145.0954,3692.0,558.0,239.0,5,2.0,2.0,1,0,0,13.710150042306449
158,2016,1905.0,5.0,-37.7676,144.9665,11918.0,225.0,108.0,2,1.0,0.0,1,0,0,13.841178304712852
159,2017,2008.0,7.0,-37.73156,144.97087,3445.0,275.0,142.0,3,2.0,2.0,0,1,0,13.62918097977278
160,2016,1970.0,11.0,-37.8873,145.0559,7822.0,103.0,82.0,2,1.0,1.0,0,0,1,13.393916067926225
161,2016,1920.0,7.0,-37.809,144.8865,2417.0,571.0,198.0,4,2.0,3.0,1,0,0,14.19051645858773
162,2018,1970.0,13.0,-37.69758,144.88911,3285.0,552.0,114.0,3,2.0,2.0,1,0,0,13.336667980051335
163,2016,2000.0,2.0,-37.7961,144.9874,4553.0,81.0,82.0,3,2.0,1.0,0,1,0,13.696163800331709
164,2016,1940.0,6.0,-37.8013,145.0335,10331.0,397.0,80.0,3,2.0,2.0,1,0,0,14.269765830241871
165,2017,2015.0,17.0,-37.81338,145.18551,6871.0,367.0,334.0,4,3.0,2.0,1,0,0,13.997832114758229
166,2017,2006.0,16.0,-37.94882,145.03111,4794.0,680.0,680.0,4,2.0,2.0,1,0,0,14.414347059052979
167,2017,1960.0,11.0,-37.70425,144.93164,8870.0,422.0,104.0,3,1.0,1.0,1,0,0,13.42984807715229
168,2017,2010.0,35.0,-38.0817,145.19654,1721.0,448.0,187.0,4,2.0,2.0,1,0,0,13.37700559577791
169,2016,1950.0,10.0,-37.7207,144.9511,7485.0,455.0,147.0,4,2.0,1.0,1,0,0,13.604789526648622
170,2016,2010.0,15.0,-37.9378,145.0385,2555.0,164.0,123.0,3,2.0,1.0,0,1,0,13.527828485512494
171,2016,1980.0,14.0,-37.7556,145.0946,5420.0,313.0,128.0,3,1.0,2.0,1,0,0,13.517778149658993
172,2017,2015.0,21.0,-37.57287,144.91884,15510.0,448.0,219.0,4,2.0,2.0,1,0,0,13.39239051461739
173,2016,2010.0,5.0,-37.7687,144.9649,11918.0,4676.0,122.0,3,2.0,1.0,1,0,0,13.514405465180353
174,2017,1998.0,3.0,-37.79013,144.92359,5263.0,0.0,110.0,2,2.0,1.0,0,0,1,13.190022025878143
175,2017,1996.0,21.0,-37.63382,144.92774,5833.0,255.0,141.0,3,2.0,2.0,1,0,0,12.959844447906553
176,2016,2000.0,4.0,-37.8392,144.9421,8648.0,0.0,64.0,1,1.0,1.0,0,0,1,12.89921982609012
177,2017,1980.0,18.0,-37.70697,145.14105,2346.0,1503.0,209.0,4,3.0,2.0,1,0,0,13.732128949025222
178,2016,2010.0,4.0,-37.7976,144.9285,5263.0,3448.0,71.0,2,2.0,1.0,0,0,1,12.999065161059836
179,2018,1890.0,5.0,-37.76032,144.95981,11918.0,398.0,107.0,2,1.0,2.0,1,0,0,13.955272500339433
180,2017,1900.0,6.0,-37.81335,144.89471,6543.0,284.0,124.0,3,1.0,1.0,1,0,0,14.066269276311457
181,2017,1956.0,10.0,-37.762,145.0645,1651.0,707.0,217.0,4,2.0,2.0,1,0,0,14.375126345899696
182,2017,2016.0,10.0,-37.74016,144.88805,2291.0,650.0,380.0,2,1.0,1.0,1,0,0,14.15910026235435
183,2018,1978.0,15.0,-37.94964,145.01593,4497.0,474.0,170.0,3,2.0,2.0,1,0,0,14.403297222866392
184,2016,1900.0,8.0,-37.7539,144.9612,11204.0,238.0,131.0,3,1.0,0.0,1,0,0,13.493926933836812
185,2018,1980.0,5.0,-37.86339,144.97856,13240.0,120.0,82.0,2,1.0,1.0,1,0,0,13.732128949025222
186,2016,1957.0,12.0,-37.7657,145.0957,4480.0,556.0,214.0,4,2.0,2.0,1,0,0,14.026581528044215
187,2017,1900.0,5.0,-37.80127,145.03733,10331.0,350.0,168.0,4,2.0,4.0,1,0,0,14.340239086899256
188,2016,1960.0,11.0,-37.9205,145.0122,6938.0,682.0,240.0,4,2.0,2.0,1,0,0,14.47819853103951
189,2017,1960.0,12.0,-37.7039,144.9858,21650.0,767.0,132.0,3,1.0,1.0,1,0,0,13.567049198665774
190,2017,1950.0,9.0,-37.7862,145.0739,7809.0,350.0,120.0,3,1.0,1.0,0,0,1,13.458835614025542
191,2016,1910.0,3.0,-37.7811,144.9715,3106.0,499.0,164.0,3,1.0,2.0,1,0,0,14.897315728316002
192,2017,2010.0,18.0,-37.83867,144.7034,10160.0,407.0,146.0,3,2.0,2.0,1,0,0,13.173056491719846
193,2017,2000.0,15.0,-37.88634,145.21601,7082.0,634.0,294.0,5,3.0,2.0,1,0,0,14.026581528044215
194,2017,1980.0,18.0,-37.86569,144.69104,13830.0,626.0,137.0,3,2.0,2.0,1,0,0,13.253391639810733
195,2018,1960.0,8.0,-37.87291,145.0451,8801.0,209.0,93.0,2,1.0,2.0,1,0,0,13.854731271117556
196,2016,1997.0,4.0,-37.7601,144.9805,5533.0,136.0,151.0,4,2.0,2.0,1,0,0,13.66002565512388
197,2017,1910.0,5.0,-37.86667,144.98324,13240.0,613.0,160.0,4,2.0,3.0,1,0,0,14.28551418721001
198,2016,2002.0,9.0,-37.7712,144.8763,4918.0,446.0,286.0,5,3.0,2.0,1,0,0,13.955272500339433
199,2016,2000.0,3.0,-37.8183,145.0079,14949.0,133.0,174.0,3,2.0,2.0,1,0,0,14.115615150414612
200,2017,1960.0,15.0,-37.6825,144.9974,7955.0,532.0,177.0,3,1.0,2.0,1,0,0,13.407542319637992
201,2016,1920.0,8.0,-37.829,144.8807,1223.0,830.0,134.0,4,2.0,3.0,1,0,0,14.089347223594002
202,2017,2000.0,10.0,-37.9067,145.0247,6938.0,217.0,0.0,3,2.0,2.0,0,1,0,13.764217263576723
203,2016,1890.0,7.0,-37.82,144.891,6543.0,138.0,82.0,3,1.0,1.0,1,0,0,13.554145793829866
204,2017,1890.0,4.0,-37.7868,144.99,6244.0,186.0,97.0,2,1.0,0.0,1,0,0,14.187074114396758
205,2018,1925.0,7.0,-37.89871,145.01019,534.0,558.0,161.0,4,2.0,2.0,1,0,0,13.691080479586097
206,2017,2014.0,21.0,-37.59392,144.89956,15510.0,336.0,83.0,4,2.0,1.0,1,0,0,13.142166004700508
207,2016,1950.0,11.0,-37.9022,145.0125,6938.0,674.0,183.0,4,2.0,2.0,1,0,0,14.733400011202127
208,2018,2010.0,31.0,-38.06049,145.14094,3351.0,460.0,236.0,4,2.0,2.0,1,0,0,13.790192749979985
209,2017,2010.0,8.0,-37.72773,144.92628,7485.0,103.0,111.0,2,1.0,1.0,0,0,1,13.270783382522602
210,2017,1985.0,20.0,-37.64051,145.05743,10926.0,635.0,157.0,4,2.0,2.0,1,0,0,13.208541073645382
211,2016,1970.0,2.0,-37.7988,144.9478,6821.0,1588.0,71.0,2,1.0,1.0,0,0,1,13.017002861746503
212,2018,1978.0,18.0,-37.66744,145.05228,10529.0,534.0,115.0,3,1.0,2.0,1,0,0,13.279367126213993
213,2016,2009.0,10.0,-37.8028,145.0768,5682.0,715.0,420.0,5,3.0,2.0,1,0,0,14.920767389351052
214,2016,1930.0,8.0,-37.8422,144.8784,5498.0,322.0,104.0,3,1.0,2.0,1,0,0,13.5985975564007
215,2017,2011.0,2.0,-37.81828,144.99789,14949.0,3512.0,51.0,2,1.0,1.0,0,0,1,12.945626198904275
216,2016,1900.0,6.0,-37.7959,144.8901,7570.0,258.0,108.0,2,1.0,0.0,1,0,0,13.53777881636566
217,2016,1989.0,11.0,-37.897,145.0623,7822.0,0.0,96.0,3,1.0,2.0,0,0,1,13.617059619240436
218,2017,1960.0,11.0,-37.92647,145.04636,6795.0,585.0,133.0,3,1.0,2.0,1,0,0,14.077874822431765
219,2016,1910.0,3.0,-37.8361,144.9831,14887.0,215.0,200.0,3,2.0,1.0,1,0,0,14.806908762325234
220,2017,1910.0,6.0,-37.7606,144.9995,8870.0,317.0,96.0,2,1.0,0.0,1,0,0,14.04662227892766
221,2016,1960.0,13.0,-37.7029,144.9053,8870.0,616.0,125.0,3,1.0,1.0,1,0,0,13.284482226880764
222,2016,1960.0,12.0,-37.7071,144.9666,5070.0,599.0,107.0,3,1.0,1.0,1,0,0,13.151922179645874
